Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
EcAMSat (E. coli Anti Microbial Satellite),USA,Santa Clara University,Government,Space Science,LEO,Non-Polar Inclined,397,408,51.6,92.6,10,0,0,11/20/2017,1,National Aeronautics and Space Administration (NASA),USA,International Space Station,Nanorack Deployer,1998-067NG,43019,Investigate space microgravity effects on the antibiotic resistance of E. coli.
Vinasat 1,Vietnam,Vietnamese Posts and Telecommunications Group (VNPT),Government,Communications,GEO,Not Available,"35,782","35,791",0.02,1436.1,"2,600",0,0,4/18/2008,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2008-018A,32767,"Provide voice, video and internet service; Asia, India, Australia, Japan, Hawaii. 12 Ku-band, 8 C-band transponders."
"TianLian 1 (TL-1-01, CTDRS)",China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,GEO,Not Available,"35,769","35,813",0.06,1436.08,"3,750",0,0,4/25/2008,0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C,2008-019A,32779,"China's first data relay satellite, will cover Shenzhou missions.Supports near real-time communication."
Amos 3,Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,Not Available,"35,783","35,789",0.04,1436.1,0,0,0,4/28/2008,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"15 transponders, Ku and Ka bands."
Galaxy-18,USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,774","35,798",0.02,1436.1,"4,642",0,0,5/21/2008,15,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2008-024A,32951,"Advanced cable television and data, North America; 24 Ku-band, 24 C-band transponders."
"Zhongxing 9 (Chinasat 9, Chinastar 9)",China,China Satellite Communication Corp. (China Satcom),Government,Communications,GEO,Not Available,"35,759","35,812",0.03,1436.1,0,0,0,6/9/2008,0,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,2008-028A,33051,"Voice and video transmissions, especially during Beijing Olympics in 2008."
Skynet 5C,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,GEO,Not Available,"35,770","35,803",0.53,1436.1,"4,600",0,0,6/12/2008,0,EADS Astrium,UK,Guiana Space Center,Ariane 5 ECA,2008-030A,33055,24 super-high-frequency and UHF channels; provide secure communications services to British and NATO forces.
Turksat 3A,Turkey,Turksat,Commercial,Communications,GEO,Not Available,"35,778","35,793",0.01,1436.06,"3,100","1,272","8,100",6/12/2008,0,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2008-030B,33056,24 Ku-band transponders; television service to Turkey.
Badr 6 (Arabsat 4AR),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,Not Available,"35,768","35,805",0.05,1436.1,"3,400",0,"6,000",7/7/2008,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2008-034B,33154,"24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa."
"Intelsat 25 (IS-25, Protostar 1, Chinasat 8)",USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,778","35,793",0.02,1436.1,"4,100",0,"11,000",7/7/2008,16,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2008-034A,33153,"First satellite of fleet; provides service in Asia. Purchased at auction by Intelsat in October, 2009 for $210 million."
Echostar 11,USA,"Echostar Satellite Services, LLC",Commercial,Communications,GEO,Not Available,"35,778","35,793",0.03,1436.1,"5,500",0,"20,000",7/16/2008,15,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2008-035A,33207,Direct-to-home television.
AMC-21 (Americom 21),USA,SES S.A.,Commercial,Communications,GEO,Not Available,"35,778","35,793",3,1436.1,"2,500",0,"5,000",8/14/2008,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean."
Superbird 7 (Superbird C2),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,Not Available,"35,778","35,794",0.12,1436.1,"5,000",0,0,8/14/2008,15,Mitsubishi Electric ,Japan,Guiana Space Center,Ariane 5 ECA,2008-038A,33274,"28 Ku-band transponders to provide internet and television services to Japan, East Asia, and the Pacific region."
INMARSAT 4 F3,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,Not Available,"35,775","35,798",3.01,1436.1,"5,960",0,"13,000",8/18/2008,15,EADS Astrium,France/UK/Germany,Baikonur Cosmodrome,Proton M,2008-039A,33278,"200 spot-beams to relay messages from mobile phones based on land, sea, or air."
Ecuador-UTE,Ecuador,Equator Technological University,Civil,Technology Development,LEO,Sun-Synchronous,501,562,97.5,95.2,4,0,0,7/5/2019,0,Equator Technological University,Ecuador,Vostochny Cosmodrome,Soyuz 2.1b,2019-038K,44395,Space weather and ionospheric research mission.
Nimiq 4,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,Not Available,"35,779","35,794",0.01,1436.1,"4,850",0,"12,000",9/19/2008,15,EADS Astrium,France,Baikonur Cosmodrome,Proton,2008-044A,33373,"Television broadcast;  32 Ku-band, 8 Ka-band."
EgyptSat-A ,Egypt,National Authority for Remote Sensing and Space Science (NARSS),Government,Earth Observation,LEO,Sun-Synchronous,652,657,98,98,"2,200",0,0,2/21/2019,11,RKK Energia,Russia,Baikonur Cosmodrome,Soyuz,2019-008A,44047,Electro-optical imaging system includes an Earth-viewing telescope and camera that can spot surface features as small as 3.3 feet (1 meter)
"EKS-1 (Integrated Space System, Cosmos 2510, Tundra 11L)",Russia,Ministry of Defense,Military,Earth Observation,Elliptical,Molniya,"1,606","38,662",63,715,0,0,0,11/17/2015,0,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1,2015-066A,41032,Replaces the US-OKO early warning system.
"EKS-2 (Integrated Space System, Cosmos 2518, Tundra 12L)",Russia,Ministry of Defense,Military,Earth Observation,Elliptical,Molniya,"1,650","38,511",63.8,713.8,0,0,0,5/25/2017,0,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2017-027A,42719,Second in the EKS series.
"EKS-3 (Integrated Space System, Cosmos 2541, Tundra 13L) ",Russia,Ministry of Defense,Military,Earth Observation,Elliptical,Molniya,"1,615","38,737",63.8,717.7,0,0,0,9/26/2019,0,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2019-065A,44552,Third in the EKS series.
El Camino Real (Momentus X1),USA,Momentus,Commercial,Technology Development,LEO,Sun-Synchronous,515,543,97.5,95.2,20,0,0,7/5/2019,0,Momentus,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038Y,44408,Development of a space tug with water propulsion system.
Galaxy-19,USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,776","35,796",0.05,1436.1,"4,690",0,0,9/24/2008,15,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2008-045A,33376,"50-state coverage, in addition to reaching the Caribbean, Canada and Mexico, to video, government and network customers. "
Astra 1M,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,804","35,852",0.14,1438.2,"5,345",0,"9,900",11/5/2008,15,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436,Direct-to-home and HD television.
Ciel-2,Canada,Ciel Satellite Group,Commercial,Communications,GEO,Not Available,"35,782","35,788",0.05,1436.05,"5,585",0,0,12/10/2008,15,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,2008-063A,33453,Digital television; 32 Ku-band transponders.
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,Not Available,"35,764","35,808",0.12,1436.08,"3,460","1,555","7,000",12/20/2008,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.
Eutelsat Hot Bird 13C (Hot Bird 9),Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,Not Available,"35,786","35,787",0.06,1436.09,"4,880","2,338","14,500",12/20/2008,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065A,33459,64 Ku-band transponders.
ELISA-E12 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,LEO,Sun-Synchronous,675,692,98.21,98.43,120,0,0,12/17/2011,0,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076D,38010,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.
ELISA-E24 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,LEO,Sun-Synchronous,675,692,98.21,98.43,120,0,0,12/17/2011,0,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076B,38008,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.
ELISA-W11 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,LEO,Sun-Synchronous,677,692,98.21,98.45,120,0,0,12/17/2011,0,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076A,38007,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.
ELISA-W23 (ELectronic Intelligence by SAtellite),France,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Military,Earth Observation,LEO,Sun-Synchronous,677,692,98.21,98.46,120,0,0,12/17/2011,0,Astrium/Thales Alenia Space,France,Guiana Space Center,Soyuz 2/Fregat,2011-076C,38009,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.
EMISat (Electromagnetic Intelligence-gathering Satellite),India,Defence Research and Development Organization,Military,Earth Observation,LEO,Sun-Synchronous,735,759,98.3,99.75,436,0,800,4/1/2019,0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2019-018A,44078,"Carries instrumentation to detect, locate and characterize electromagnetic signals, such as those transmitted by military radars."
"EMKA-1 (Cosmos  2525, Experimental  Spacecraft)",Russia,Ministry of Defense,Military,Earth Observation,LEO,Polar,315,318,96.6,90.8,300,0,0,3/29/2018,0,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2018-028A,43243,Thought to be high-resolution surveillance satellite.
EOS-AM Terra ,USA/Canada/Japan,Earth Sciences Enterprise (NASA),Government,Earth Observation,LEO,Sun-Synchronous,702,703,98.2,98.8,"4,854",0,"2,530",12/18/1999,6,Lockheed Martin,USA,Vandenberg AFB,Atlas 2AS,1999-068A,25994,Aathfinusrs for Earth Sciences Gnterprise's 190 Vanelliea LEO gonseallation.
EOS-CHEM Aura ,USA,Goddard Space Flight Center/EOS Data and Operations System,Government,Earth Observation,LEO,Sun-Synchronous,702,703,98.2,98.8,"2,967",0,"4,600 (EOL)",7/15/2004,5,TRW,USA,Vandenberg AFB,Delta 2,2004-026A,28376,"Study Earth's ozone, air quality, and climate; extension of UARS and TOMS missions."
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",USA/Japan/Brazil,National Aeronautics and Space Administration (NASA) - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Government,Earth Observation,LEO,Sun-Synchronous,701,704,98.2,98.8,"2,934","2,832","4,860 (EOL)",5/4/2002,6,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),USA/Japan/Brazil,Vandenberg AFB,Delta,2002-022A,27424,Six-year chronology of the planet and its hydrological processes.
EquiSat,USA,Brown University,Government,Technology Development,LEO,Non-Polar Inclined,398,407,51.6,92.6,2,0,0,7/13/2018,0,Brown University,USA,International Space Station,Nanorack Deployer,1998-067PA,43552,EQUiSat tests a new battery technology called lithium iron phosphate (LiFePO4) for use in future NASA missions.
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,Not Available,"35,714","35,937",2.89,1438.8,"5,000",0,0,1/18/2009,0,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.
EROS B1 (Earth Resources Observation Satellite),Israel,"ImageSat International, NV/Ministry of Defense",Military/Commercial,Earth Observation,LEO,Sun-Synchronous,508,514,97.4,94.8,350,0,800,4/25/2006,10,Israel Aircraft Industries (IAI),Israel,Svobodny Cosmodrome,Start 1,2006-014A,29079,"High resolution imaging satellite; obtain images (with resolution of 0.82 meters) of locations chosen by Israeli military or worldwide commercial clients; in Jan. 2001 Ministry of Defense bought rights to all imaging of Israel and territories within 2,000 km around Israel."
ESEO (European Student Earth Orbiter),ESA,European University Network,Civil,Earth Observation/Earth Science,LEO,Sun-Synchronous,572,588,97.7,96.3,45,0,0,12/3/2018,0,Carlo Gavazzi Space (CGS) working with network of universities,Italy,Vandenberg AFB,Falcon 9,2018-099AL,43792,ESA-sponsored project with European network of universities. See sources.
"Eutelsat 33E (Hot Bird  13D, Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,Not Available,"35,766","35,806",0.06,1436.07,"4,892","2,240","11,000",2/11/2009,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008B,33750,64 Ku-band transponders.
Express-AM44,Russia,International Organization of Space Communications (Intersputnik),Commercial,Communications,GEO,Not Available,"35,987","35,995",0.11,1446.57,"2,532",0,0,2/11/2009,12,NPO-PM/Thales Alenia Space,Russia/France,Baikonur Cosmodrome,Proton M,2009-007A,33595,"16 Ku-band; 10 C-band, 1 L-band transponder."
NSS-9,Netherlands,SES S.A.,Commercial,Communications,GEO,Not Available,"35,784","35,792",0.02,1436.17,"2,238","1,014","2,300",2/11/2009,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2009-008A,33749,28 C-band transponders for voice and video communication.
SPIRALE-A (Système Préparatoire Infra-Rouge pour l'Alerte),France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Elliptical,Not Available,240,"31,342",2,547,117,0,0,2/11/2009,0,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008C,33751,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.
ETRSS-1,Ethiopia,Ethiopian Space Science and Technology Institute,Government,Earth Observation,LEO,Sun-Synchronous,615,634,97.9,97.1,70,0,0,12/20/2019,0,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2019-093B,44880,Ethiopia's first satellite. Remote sensing.
Eu:CROPIS (Euglena and Combined Regenerative Organic-Food Production in Space),Germany,German Aerospace Center (DLR),Government,Technology Development,LEO,Sun-Synchronous,572,591,97.7,96.3,230,0,0,12/3/2018,0,German Aerospace Center (DLR),Germany,Vandenberg AFB,Falcon 9,2018-099BB,43807,"Two greenhouses for experimental growth of food in space, or Mars/Moon."
SPIRALE-B (Système Préparatoire Infra-Rouge pour l'Alerte),France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Elliptical,Not Available,389,"17,480",2.1,314,117,0,0,2/11/2009,0,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008D,33752,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.
Telstar 11N,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,Not Available,"35,774","35,801",0.04,1436.13,"4,010",0,0,2/26/2009,15,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SLB,2009-009A,34111,"39 Ku-band transponders; North America, Europe, Africa, across Atlantic."
Eutelsat 10A (Eutelsat W-2A),Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,Not Available,"35,781","35,822",0.03,1436.09,"5,900",0,0,4/3/2009,15,Thales Alenia Space,France/Italy,Baikonur Cosmodrome,Proton M,2009-016A,34710,"46 Ku-band, 10 C-band transponders, S-band not in service due to anomaly."
"Wideband Global Satcom 2 (WGS-2, USA 204)",USA,Military Satellite Communications - US Air Force,Military,Communications,GEO,Not Available,"35,786","35,787",0.03,1436.12,"5,987","3,450","13,000",4/4/2009,14,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2009-017A,34713,X and Ka-band transponders. Will replace DSCS system.
Sicral 1B,Italy,Italian Defense Ministry/Telespazio,Military/Commercial,Communications,GEO,Not Available,"35,788","35,802",0.04,1436.52,"3,038",0,0,4/20/2009,12,Thales Alenia Space Italia,Italy,Sea Launch Odyssey,Zenit 3SL,2009-020A,34810,One third paid for by Telespazio; will use some transponders for approved government customers.
"SES-7 (Protostar 2, Indostar 2)",Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,783","35,790",0.03,1436.1,"4,007",0,0,5/16/2009,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Breeze M,2009-027A,34941,"13 S-band, 27 Ku-band transponders, covers Indonesia, india, Taiwan and the Philippines. Purchased at auction in Dec. 2009 for $185 million."
Measat 3A (Malaysia East Asia Sat 3A),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,Not Available,"35,728","35,788",0.04,1434.6,"2,417",0,0,6/21/2009,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Zenit 3SLB,2009-032A,35362,"12 C-band, 12 Ku-band transponders, Asia-Pacific region, Middle East, and Africa."
"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Observation,GEO,Not Available,"35,170","35,170",0,1436,"3,200","1,533","2,300",6/27/2009,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2009-033A,35491,Spare.
Sirius FM-5,USA,Sirius XM Holdings,Commercial,Communications,GEO,Not Available,"35,774","35,798",0,1436,"5,800",0,"20,000",6/30/2009,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2009-034A,35493,First in geostationary orbit.
TerraStar 1,USA,TerraStar Corporation,Commercial,Communications,GEO,Not Available,"35,783","35,791",5.94,1436.11,"6,910",0,0,7/1/2009,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2009-035A,35496,Largest commercial satellite ever built; 18-meter-diameter unfurlable S-band antenna; provide mobile voice and data communications in North America to smartphone-size handsets.
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,Not Available,"35,778","35,795",0,1436.11,"3,760",0,0,8/11/2009,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,"14 Ku-Band, 26 C-band, serving all of Asia."
"JCSat RA (JCSat 12, Japan Communications Satellite 12)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,Not Available,"35,780","35,794",0.04,1436.12,"4,000",0,0,8/21/2009,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5,2009-044A,35755,Backup for other JCSATs.
Optus D3,Australia,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,GEO,Not Available,"35,775","35,795",0.04,1436.04,"2,501",0,"5,000",8/21/2009,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2009-044B,35756,Direct-to-home tv services to Australia and New Zealand; 24 Ku-band transponders.
Palapa D1,Indonesia,PT Indosat,Commercial,Communications,GEO,Not Available,"35,780","35,792",0.07,1436.09,"4,100",0,"6,000",8/31/2009,15,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,2009-046A,35812,"Third stage of rocket put it in a low transfer orbit, but was able to maneuver; reduced service life."
"PAN-1 (Nemesis, Palladium at Night, P360, USA 207)",USA,Unknown US intelligence agency,Military,Earth Observation,GEO,Not Available,"35,786","35,787",0.03,1436.12,0,0,0,9/8/2009,0,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2009-047A,35815,Thought to be a new generation military communications satellite. The operating agency was not announced; appears to be related to the U. S. Navy’s Ultra-High Frequency (UFO) Follow-On program constellation of geosynchronous communications spacecraft because of the monitored frequencies emanating from the spacecraft launched in earth orbit.
Nimiq 5,Canada,Echostar Corporation (entire payload leased from Telesat Canada Ltd.),Commercial,Communications,GEO,Not Available,"35,700","35,700",0.01,1436.1,"4,745",0,0,9/17/2009,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-050A,35873,32 Ku-band transponders. Full capacity leased to Echostar Corporation for life of satellite.
Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,Not Available,"35,767","35,805",0.03,1436.08,"5,465",0,"15,300",10/1/2009,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America."
COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,Armed Forces,Military,Communications,GEO,Not Available,"35,773","35,799",0.05,1436.1,"2,440",0,"3,500",10/1/2009,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2009-054B,35943,Germany's first military communications satellite.
NSS-12,Netherlands,SES S.A.,Commercial,Communications,GEO,Not Available,"35,779","35,793",0.06,1436.08,0,"5,624",0,10/29/2009,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2009-058A,36032,"48 Ku-band, 40 C-band transponders."
Thor-6,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,Not Available,"35,779","35,794",0.02,1436.1,"3,050",0,"5,900",10/29/2009,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2009-058B,36033,36 Ku-band transponders; Central and eastern Europe and Nordic region.
Intelsat 14 (IS-14),USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,771","35,800",0.02,1436.05,"5,613","2,517",0,11/23/2009,16,Space Systems/Loral,USA,Cape Canaveral,Atlas,2009-064A,36097,"62 transponders, North and South America, Africa and Europe; will also carry an experiment for the US Department of Defense. Internet Routing in Space, or IRIS, is a technology demonstration project which will allow the satellite to perform IP routing rather than requiring a ground station to do so."
