Satellite_Names,Launch_Date,Country_of_Operator_Owner,Purpose,Orbit_Classes,Orbit_Types,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Expected_Lifetime_years,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments,names,count
Dove 3p-28 (0 Flock 3P-28 102C),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008N,41960,Not Available,,
Dove 3p-29 (0 Flock 3P-29 1033),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008DB,42045,Not Available,,
Dove 3p'-3  (0 Flock 3p'3 1105),1/11/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-004J,43119,Not Available,,
Dove 3p-3 (0 Flock 3P-3 1002),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008W,41968,Not Available,,
Dove 3p-30 (0 Flock 3P-30 102E),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AR,41987,Not Available,,
Dove 3p-31 (0 Flock 3P-31 1032),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008DF,42049,Not Available,,
Dove 3p-32 (0 Flock 3P-32 1035),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CD,42023,Not Available,,
Dove 3p-33 (0 Flock 3P-33 103C),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AU,41990,Not Available,,
Dove 3p-34 (0 Flock 3P-34 103B),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AS,41988,Not Available,,
Dove 3p-35 (0 Flock 3P-35 103D),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AT,41989,Not Available,,
Dove 3p-36 (0 Flock 3P-36 103A),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AQ,41986,Not Available,,
Dove 3p-37 (0 Flock 3P-37 1037),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008F,41953,Not Available,,
Dove 3p-38 (0 Flock 3P-38 1036),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CT,42037,Not Available,,
Dove 3p-39 (0 Flock 3P-39 103E,2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CU,42038,Not Available,,
Dove 3p-4 (0 Flock 3P-4 1003),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008T,41965,Not Available,,
Dove 3p'-4 (0 Flock 3p'4 1107),1/11/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.5,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-004M,43122,Not Available,,
Dove 3p-40 (0 Flock 3P-40 1039),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BQ,42010,Not Available,,
Dove 3p-41 (0 Flock 3P-41 1031),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BJ,42004,Not Available,,
Dove 3p-42 (0 Flock 3P-42 101E),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BN,42008,Not Available,,
Dove 3p-43 (0 Flock 3P-43 1041),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BM,42007,Not Available,,
Dove 3p-44 (0 Flock 3P-44 1019),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CP,42033,Not Available,,
Dove 3p-45 (0 Flock 3P-45 101A),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BK,42005,Not Available,,
Dove 3p-46 (0 Flock 3P-46 1011),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CM,42031,Not Available,,
Dove 3p-47 (0 Flock 3P-47 1027),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CN,42032,Not Available,,
Dove 3p-48 (0 Flock 3P-48 1042),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BL,42006,Not Available,,
Dove 3p-49 (0 Flock 3P-49 1038),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BF,42001,Not Available,,
Dove 3p-5 (0 Flock 3P-5 0F18),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008Z,41971,Not Available,,
Dove 3p-50 (0 Flock 3P-50 1034),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CK,42029,Not Available,,
Dove 3p-51 (0 Flock 3P-51 1006),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008E,41952,Not Available,,
Dove 3p-52 (0 Flock 3P-52 1044),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CL,42030,Not Available,,
Dove 3p-53 (0 Flock 3P-53 1007),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BT,42013,Not Available,,
Dove 3p-54  (0 Flock 3P-54 1005),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BU,42014,Not Available,,
Dove 3p-55 (0 Flock 3P-55 1008),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CX,42041,Not Available,,
Dove 3p-56  (0 Flock 3P-46 100F),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CY,42042,Not Available,,
Dove 3p-57 (0 Flock 3P-57 1014),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AG,41978,Not Available,,
Dove 3p-58 (0 Flock 3P-58 1009),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AF,41977,Not Available,,
Dove 3p-59 (0  Flock 3P-59 1045),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CC,42022,Not Available,,
Dove 3p-6 (0 Flock 3P-6 0F35),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008X,41969,Not Available,,
Dove 3p-60 (0 Flock 3P-60 101B),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AE,41976,Not Available,,
Dove 3p-61 (0 Flock 3P-61 1012),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BP,42009,Not Available,,
Dove 3p-62 (0 Flock 3P-62 1046),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CS,42036,Not Available,,
Dove 3p-63 (0 Flock 3P-63 1015),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CR,42035,Not Available,,
Dove 3p-64 (0 Flock 3P-64  100A),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CQ,42034,Not Available,,
Dove 3p-65 (0 Flock 3P-65 1040),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CJ,42028,Not Available,,
Dove 3p-66 (0 Flock 3P-66 1013),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CH,42027,Not Available,,
Dove 3p-67 (0 Flock 3P-67 1017),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BG,42002,Not Available,,
Dove 3p-68 (0 Flock 3P-68 1004),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BH,42003,Not Available,,
Dove 3p-69 (0 Flock 3P-69 0F43),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CA,42020,Not Available,,
Dove 3p-7 (0 Flock 3P-7 100B),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008Y,41970,Not Available,,
Dove 3p-70 (0 Flock 3P-70 0F15),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AJ,41980,Not Available,,
Dove 3p-71 (0 Flock 3P-71 0F11),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CE,42024,Not Available,,
Dove 3p-72 (0 Flock 3P-72 0F10),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008DH,42051,Not Available,,
Dove 3p-73 (0 Flock 3P-73  0F1B),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AK,41981,Not Available,,
Dove 3p-74 (0 Flock 3P-74 0F22),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008DE,42048,Not Available,,
Dove 3p-75  (0 Flock 3P-75 0F12),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AH,41979,Not Available,,
Dove 3p-76 (0 Flock 3P-76 0F17),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008BZ,42019,Not Available,,
Dove 3p-77 (0 Flock 3P-77 0F28),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CF,42025,Not Available,,
Dove 3p-78  (0 Flock 3P-78 0F51),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008DD,42047,Not Available,,
Dove 3p-79 (0 Flock 3P-79 0F52),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AN,41984,Not Available,,
Dove 3p-8  (0 Flock 3P-8  100C),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008D,41951,Not Available,,
Dove 3p-80 (0 Flock 3P-80 0F4E),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CG,42026,Not Available,,
Dove 3p-81 (0 Flock 3P-81 0F25),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CZ,42043,Not Available,,
Dove 3p-82 (0 Flock 3P-82 0F41),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008DC,42046,Not Available,,
Dove 3p-83 (0 Flock 3P-83 0F3F),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008DG,42050,Not Available,,
Dove 3p-84 (0 Flock 3P-84 0F42),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008CB,42021,Not Available,,
Dove 3p-85 (0 Flock 3P-85 0F1D),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AM,41983,Not Available,,
Dove 3p-86 (0 Flock 3P-86 0F34),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AP,41985,Not Available,,
Dove 3p-87  (0 Flock 3P-87 0F31),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008DA,42044,Not Available,,
Dove 3p-88 (0 Flock 3P-88 0F38),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AL,41982,Not Available,,
Dove 3p-9 (0 Flock 3P-9 1021),2/14/2017,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2017-008AB,41973,Not Available,,
Dove 3r-1 (0 Flock 3R-1 105A),10/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096AE,43747,Not Available,,
Dove 3r-10 (0 Flock 3R-10 1059),11/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096X,43740,Not Available,,
Dove 3r-11 (0 Flock 3R-11 1064),11/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096G,43725,Not Available,,
Dove 3r-12 (0 Flock 3R-12 1066),11/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096F,43724,Not Available,,
Dove 3r-13 (0 Flock 3R-13 210B),10/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096AH,43750,Not Available,,
Dove 3r-14 (0 Flock 3R-14 210C),10/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096AG,43749,Not Available,,
Dove 3r-15 (0 Flock 3R-15 2107),10/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096T,43736,Not Available,,
Dove 3r-16 (0 Flock 3R-16 2152),10/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096S,43735,Not Available,,
Dove 3r-2 (0 Flock 3R-2 105B),10/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096AF,43748,Not Available,,
Dove 3r-3 (0 Flock 3R-3 105D),10/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096R,43734,Not Available,,
Dove 3r-4 (0 Flock 3R-4 105E),10/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096Q,43733,Not Available,,
Dove 3r-5 (0 Flock 3R-5 105F),11/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096H,43726,Not Available,,
Dove 3r-6 (0 Flock 3R-6 1057),11/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096Y,43741,Not Available,,
Dove 3r-7 (0 Flock 3R-7 1058),10/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096Z,43742,Not Available,,
Dove 3r-8 (0 Flock 3R-8 1060),11/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096J,43727,Not Available,,
Dove 3r-9 (0 Flock 3R-9 1061),10/29/2018,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-096E,43723,Not Available,,
Dove 3s-1 (0 Flock 3S-1 105C),12/3/2018,USA,Earth Observation,LEO,Sun-Synchronous,96.3,4,0,0,USA,Vandenberg AFB,Falcon 9,2018-099M,43769,Not Available,,
Dove 3s-2 (0 Flock 3S-2 2151),12/3/2018,USA,Earth Observation,LEO,Sun-Synchronous,96.3,4,0,0,USA,Vandenberg AFB,Falcon 9,2018-099BR,43821,Not Available,,
Dove 3s-3 (0 Flock 3S-3 210D),12/3/2018,USA,Earth Observation,LEO,Sun-Synchronous,96.3,4,0,0,USA,Vandenberg AFB,Falcon 9,2018-099AG,43788,Not Available,,
Dove 4a-1 (0 Flock 4a-1 2218),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018B,44079,Not Available,,
Dove 4a-10 (0 Flock 4a-10 2205),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018V,44097,Not Available,,
Dove 4a-11 (0 Flock 4a-11 2223),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018U,44096,Not Available,,
Dove 4a-12 (0 Flock 4a-12 2209),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018AE,44108,Not Available,,
Dove 4a-13 (0 Flock 4a-13 220c),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018AA,44102,Not Available,,
Dove 4a-14 (0 Flock 4a-14 222c),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018Z,44101,Not Available,,
Dove 4a-15 (0 Flock 4a-15 2207),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018Y,44100,Not Available,,
Dove 4a-16 (0 Flock 4a-16 222b),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018X,44099,Not Available,,
Dove 4a-17 (0 Flock 4a-17 2212),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018L,44088,Not Available,,
Dove 4a-18 (0 Flock 4a-18 2215),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018M,44089,Not Available,,
Dove 4a-19 (0 Flock 4a-19 2235),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018N,44090,Not Available,,
Dove 4a-2 (0 Flock 4a-2 2201),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018C,44080,Not Available,,
Dove 4a-20 (0 Flock 4a-20 2232),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018P,44091,Not Available,,
Dove 4a-3 (0 Flock 4a-3 2206),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018D,44081,Not Available,,
Dove 4a-4 (0 Flock 4a-4 2220),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018E,44082,Not Available,,
Dove 4a-6 (0 Flock 4a-6 220b),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018S,44094,Not Available,,
Dove 4a-7 (0 Flock 4a-7 222d),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018R,44093,Not Available,,
Dove 4a-8 (0 Flock 4a-8 2213),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018Q,44092,Not Available,,
Dove 4a-9 (0 Flock 4a-9 2224),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018W,44098,Not Available,,
Dove 4p-1 (0 Flock 4p-1 2277),11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081L,44814,Not Available,,
Dove 4p-10 (0 Flock 4p-10 2233),11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081E,44808,Not Available,,
Dove 4p-11 (0 Flock 4p-11 2231),11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081F,44809,Not Available,,
Dove 4p-2 (0 Flock 4p-3 2278),11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081K,44813,Not Available,,
Dove 4p-3 (0 Flock 4p-3 2304 ),11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081J,44812,Not Available,,
Dove 4p-4 (0 Flock 4p-4 2310),11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081H,44811,Not Available,,
Dove 4p-5 (0 Flock 4p-5 2259),11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081Q,44818,Not Available,,
Dove 4p-6 (0 Flock 4p-6 2263),11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081P,44817,Not Available,,
Dove 4p-7 (0 Flock 4p-7 222F),11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081N,44816,Not Available,,
Dove 4p-8 (0 Flock 4p-8 2275),11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081M,44815,Not Available,,
"Dove 4p-9 (0 Flock 4p-9 2257)
Dove 4p-10 -- 2019-081E 
Dove 4p-11 – 2019-081F 
Dove 4p-12 – 2019-081G 
Dove 4p-4 -- 2019-081H 
Dove 4p-3 -- 2019-081J 
Dove 4p-2 – 2019-081K 
Dove 4p-1 -- 2019-081L 
Dove 4p-8 -- 2019-081M 
Dove 4p-7 -- 2019-081N 
Dove 4p-6 – 2019-081P 
Dove 4p-5 -- 2019-081Q 
",11/27/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.7,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-081D,44807,Not Available,,
Dove-4a-5 (0 Flock 4a-5 2227),4/1/2019,USA,Earth Observation,LEO,Sun-Synchronous,94.6,4,0,0,USA,Satish Dhawan Space Centre,PSLV,2019-018T,44095,Not Available,,
Intelsat 11 (PAS 11),10/5/2007,USA,Communications,GEO,Not Available,1436.1,"2,491",0,15,USA,Guiana Space Center,Ariane 5,2007-044B,32253,"25 C-band, 18 Ku-band transponders, services to Latin America.",,
Optus D2,10/5/2007,Australia,Communications,GEO,Not Available,1436.1,"2,400",0,15,USA,Guiana Space Center,Ariane 5,2007-044A,32252,Direct-to-home tv services to Australia and New Zealand; 24 Ku-band transponders.,,
"Wideband Global Satcom 1 (WGS-1, USA 195)",10/11/2007,USA,Communications,GEO,Not Available,1436.1,"5,900","3,450",14,USA,Cape Canaveral,Atlas 5,2007-046A,32258,First of five; will provide services to the US Department of Defense and the Ministry of Defense for Canada as well as other Government and Allied users under unstressed conditions.,,
Skynet 5B,11/14/2007,United Kingdom,Communications,GEO,Not Available,1436.1,"4,635","2,170",15,France/UK/Germany,Guiana Space Center,Ariane 5,2007-056B,32294,Not Available,,
Star One C1,11/14/2007,Brazil,Communications,GEO,Not Available,1436,"4,100","1,750",15,France,Guiana Space Center,Ariane 5,2007-056A,32293,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries.",,
Sirius 4 (Astra 4A),11/17/2007,Sweden,Communications,GEO,Not Available,1436.1,"4,400",0,15,USA,Baikonur Cosmodrome,Proton M,2007-057A,32299,52 Ku-band and 2 Ka-band transponders; service to Europe and sub-Saharan Africa.,,
Horizons 2,12/21/2007,USA/Japan,Communications,GEO,Not Available,1436.1,"2,300",0,15,USA,Guiana Space Center,Ariane 5,2007-063B,32388,"Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan.",,
Thuraya 3,1/15/2008,United Arab Emirates,Communications,GEO,Not Available,1436.1,"5,180",0,12,USA,Sea Launch Odyssey,Zenit 3SL,2008-001A,32404,"Mobile phone communication in eastern Asia, Middle East, Australia.",,
Express-AM33,1/28/2008,Russia,Communications,GEO,Not Available,1436.1,"2,600",0,12,Russia/France,Baikonur Cosmodrome,Proton M,2008-003A,32478,"10 C-band, 16 Ku-band; 1 L-band; Russian Federation and Asian Pacific region.",,
